318	857	121	749	745	276	426
209	794	335	562	775	967	467
158	972	967	67	946	314	113
181	289	888	477	188	388	467
677	285	881	554	863	86	213
375	88	280	166	610	827	611
865	907	671	197	17	576	418
145	756	55	572	487	106	387
659	675	151	172	134	586	516
258	727	91	34	868	641	902
914	990	902	666	977	587	34
392	363	487	74	40	510	424
396	568	23	623	119	338	422
546	813	1	78	196	14	945
912	204	20	897	321	268	417
799	38	309	262	463	934	130
779	199	323	737	10	597	544
217	190	752	638	770	834	967
785	111	766	947	12	382	299
481	746	25	253	209	191	838
162	303	585	839	747	658	194
311	311	583	112	292	720	985
14	224	461	610	544	297	355
329	206	415	686	364	200	576
576	115	767	638	366	968	497
417	417	69	274	417	69	335
924	481	198	148	157	306	522
720	704	988	863	855	223	578
554	729	246	177	412	538	405
495	171	536	360	154	408	929
97	91	272	910	144	37	99
533	511	611	692	473	814	158
441	121	749	756	736	183	545
47	554	316	428	283	18	150
880	825	225	28	777	729	243
423	93	98	213	850	716	67
224	984	152	849	523	389	864
127	991	23	380	504	522	928
531	976	15	40	232	111	775
107	479	723	582	492	138	499
521	375	862	903	533	148	455
282	70	892	527	99	605	871
271	792	362	471	261	931	777
271	731	779	560	535	108	837
438	333	525	937	705	693	791
844	960	159	697	522	58	972
618	618	618	536	812	812	537
153	101	807	869	891	456	540
624	902	157	183	199	335	36
713	555	234	839	596	935	617
672	406	595	341	34	494	997
758	319	302	683	467	639	962
248	308	589	850	788	2	424
557	315	324	169	356	175	44
245	72	245	227	245	72	89
559	233	674	390	827	976	362
346	839	789	568	442	146	376
271	775	901	644	922	135	882
641	159	788	601	563	417	251
819	416	22	535	23	826	770
934	294	291	852	958	857	836
154	711	587	733	723	342	427
210	500	964	656	342	268	330
772	293	641	57	557	427	529
258	602	653	833	26	159	928
626	264	18	382	204	126	412
510	69	258	842	667	77	602
272	608	254	534	876	868	731
263	308	758	1	862	800	515
397	880	201	590	254	887	362
456	340	911	889	499	298	961
167	187	695	942	135	105	838
264	340	113	887	485	175	403
420	535	353	655	951	65	416
72	152	872	619	638	241	833
546	509	572	893	495	216	205
24	597	753	659	344	470	681
241	916	945	119	363	25	583
342	59	501	196	867	918	236
89	981	760	414	82	390	444
19	78	158	849	853	568	872
463	113	614	194	304	675	132
647	728	903	323	621	775	490
444	109	512	232	842	643	462
309	912	178	720	650	71	726
949	80	11	995	679	24	784
140	140	140	211	318	318	906
488	785	140	325	497	775	395
139	392	874	523	787	24	737
322	403	324	907	44	897	850
637	985	78	694	892	209	805
982	956	909	592	84	568	822
488	115	430	816	375	589	816
323	142	307	1	874	680	558
772	295	116	422	554	813	842
222	110	365	800	925	652	299
897	738	448	401	676	98	426
631	953	439	975	182	284	132
485	394	166	111	432	986	462
663	751	275	17	516	432	216
66	459	635	265	204	850	306
435	69	288	911	228	579	658
575	504	749	44	758	295	914
754	460	421	316	678	554	577
493	988	710	632	134	41	403
525	831	560	965	352	159	466
468	922	841	190	345	47	369
752	520	167	809	752	345	226
215	136	489	650	199	151	391
503	804	1	612	688	727	155
549	866	148	893	750	584	689
267	267	295	693	754	599	652
32	855	630	9	251	668	599
588	745	728	203	705	561	513
78	430	809	585	820	231	732
764	686	127	372	775	136	161
282	178	563	974	342	724	906
417	467	887	291	639	916	489
649	556	894	992	98	117	804
