67	11	21	2	21
42	71	34	23	80
84	94	54	47	89
28	89	91	47	53
53	12	97	70	91
60	78	96	68	58
57	50	86	21	2
75	21	68	100	1
85	33	24	72	36
65	14	94	10	91
75	85	41	39	1
79	47	76	48	19
44	13	42	74	58
74	19	94	84	47
78	28	12	71	47
7	57	61	87	25
80	59	6	4	4
32	94	46	80	53
11	75	99	70	78
30	8	29	49	46
87	78	15	8	82
2	65	55	77	25
58	42	86	94	16
73	60	92	94	44
9	17	44	52	26
19	34	57	1	43
65	4	71	95	43
98	3	70	99	1
33	72	82	17	69
6	16	4	41	52
31	32	37	78	13
8	88	52	88	75
3	10	61	20	88
32	32	61	41	71
75	93	92	57	40
26	75	60	82	6
100	18	85	30	67
69	36	88	14	62
41	12	35	58	91
99	63	31	71	19
23	72	72	55	40
98	37	1	71	54
1	27	64	1	94
29	3	19	13	13
50	76	34	12	65
17	91	80	18	36
98	89	44	77	33
20	77	20	22	55
63	97	48	77	31
10	50	47	90	42
71	13	19	100	1
83	89	42	75	81
19	56	71	44	18
21	12	70	37	18
44	69	75	46	95
86	88	21	93	22
2	47	44	51	80
90	97	100	83	40
15	27	67	13	12
17	38	28	57	17
1	87	85	35	5
77	11	70	46	3
8	55	5	30	81
45	14	34	16	52
5	20	15	73	4
7	100	2	67	49
3	58	88	41	96
76	11	80	6	37
22	96	38	55	57
46	26	67	79	58
92	20	60	99	57
57	92	94	71	62
86	5	23	25	61
13	39	96	3	42
13	3	66	4	71
11	58	45	94	26
23	37	77	71	28
39	59	37	84	32
43	26	96	76	58
46	51	85	55	88
50	19	18	44	84
59	90	29	50	54
51	75	89	35	75
2	25	7	60	12
52	95	62	20	44
39	33	5	12	88
72	60	95	66	6
8	33	40	45	28
24	21	55	27	3
46	1	24	91	90
96	23	11	21	74
36	44	77	91	32
95	13	45	99	27
87	47	32	80	2
15	82	43	79	2
91	42	96	20	21
61	28	16	17	14
14	47	41	44	95
47	58	42	92	4
79	39	8	9	16
64	76	65	41	29
45	61	46	33	13
42	23	8	86	16
60	21	47	89	66
16	9	83	48	4
12	80	79	97	53
58	33	62	40	18
84	86	48	30	70
58	97	14	79	5
74	38	39	95	66
100	7	61	5	32
3	13	38	75	6
50	3	5	56	15
66	60	71	3	25
33	42	40	100	1
77	14	9	70	7
22	67	10	66	15
27	10	52	98	78
100	91	91	28	29
3	75	74	73	55
60	94	75	75	97
23	97	95	44	20
38	76	86	4	28
64	95	67	43	79
74	95	44	77	62
30	50	29	85	96
71	47	18	71	9
59	4	59	99	47
6	27	54	61	3
38	100	51	56	27
