98	24	38	124
47	142	93	104
63	91	33	140
12	73	6	59
41	133	124	73
61	89	134	109
122	61	59	144
149	41	107	45
138	121	110	25
140	141	70	14
1	128	115	22
11	15	6	30
133	30	39	77
18	100	3	71
107	120	83	146
80	38	100	119
141	92	62	63
105	140	102	91
86	103	116	30
60	78	114	111
106	100	1	110
28	133	112	64
13	44	33	96
70	125	111	54
12	59	147	52
79	83	90	132
1	2	29	64
110	87	79	95
83	63	57	12
33	86	119	41
104	52	94	123
59	82	136	11
125	150	138	124
133	61	95	94
143	44	136	134
126	97	148	147
61	131	78	111
98	136	20	36
139	117	63	28
26	89	56	2
39	131	53	72
83	40	68	92
131	52	92	147
33	83	116	123
98	81	121	38
53	22	128	68
48	92	98	70
89	127	106	85
136	49	50	90
20	133	51	83
125	70	8	53
81	132	16	123
6	38	121	5
138	27	8	148
44	9	128	99
8	58	142	70
139	70	11	110
140	111	63	137
19	71	137	2
138	53	91	66
109	101	40	7
92	138	38	80
79	133	3	7
76	64	77	140
76	111	24	94
57	33	86	59
60	10	92	60
116	52	13	120
61	127	25	6
81	28	129	121
81	56	77	116
14	60	139	100
78	111	18	30
110	36	144	25
2	17	33	18
68	87	81	108
122	107	87	12
48	26	73	37
2	135	92	88
113	65	69	62
99	56	32	106
5	106	36	52
101	97	84	131
109	135	123	118
32	62	86	104
116	50	51	78
6	6	134	60
89	50	33	40
54	122	115	80
10	126	60	29
51	69	123	136
25	136	21	80
140	23	150	41
43	47	57	8
2	96	32	17
139	61	113	86
63	148	8	67
43	140	37	91
72	82	94	136
118	35	147	138
123	104	41	131
68	73	148	110
149	95	134	79
6	22	117	11
91	85	133	146
68	4	42	86
5	103	144	76
79	85	66	59
46	14	69	139
62	13	54	62
54	24	54	110
68	30	30	4
113	35	14	147
50	81	99	81
117	10	84	21
18	26	49	3
31	93	9	20
29	128	21	16
75	122	135	48
128	40	30	93
45	4	99	116
81	50	39	58
23	85	128	127
115	47	147	79
66	87	55	10
7	46	86	104
8	62	69	113
138	13	126	35
14	149	87	24
80	86	118	138
22	44	71	142
62	7	37	106
35	22	14	57
79	66	26	29
50	75	88	40
138	141	70	127
140	50	43	83
34	126	74	129
63	66	15	140
78	14	107	30
30	138	58	69
109	66	83	117
107	125	62	13
50	4	27	44
126	8	91	39
1	93	96	129
51	105	48	59
80	3	36	34
82	132	119	135
58	6	111	110
88	2	72	131
113	9	37	136
72	74	6	62
136	134	34	113
121	136	114	56
17	33	93	75
116	38	47	7
62	67	124	77
133	127	99	137
94	58	10	140
117	57	69	78
43	115	79	28
92	47	40	35
23	108	138	141
19	25	51	125
135	82	53	92
128	38	119	76
12	2	8	50
56	62	91	140
109	108	135	132
106	52	101	53
135	45	106	79
59	136	113	49
75	66	76	122
51	3	62	74
135	11	144	66
64	60	62	44
119	78	33	72
88	84	13	85
120	85	6	3
125	25	130	105
101	100	63	80
12	149	125	123
36	127	81	98
95	45	85	148
127	99	149	3
96	77	138	103
124	37	4	127
17	143	29	17
123	84	107	136
89	27	101	91
34	67	71	118
135	4	125	115
130	123	113	108
91	7	27	48
117	91	99	96
45	33	102	64
123	41	58	57
1	10	113	12
150	141	146	40
37	124	86	59
59	145	64	134
85	93	139	26
72	3	56	9
136	37	99	19
98	104	10	53
51	68	109	10
26	133	108	68
93	54	24	50
33	18	21	53
109	135	105	8
128	136	30	37
57	41	41	140
100	42	67	69
125	58	6	139
7	43	48	89
39	105	90	149
21	25	137	103
119	22	66	68
47	52	145	143
141	85	93	147
55	147	101	33
24	74	81	33
136	52	80	136
10	123	77	78
48	63	43	56
76	125	78	123
79	141	82	46
21	115	33	14
139	80	8	144
31	83	115	33
73	126	15	64
51	70	150	42
50	134	49	92
124	94	48	118
2	93	45	134
41	134	62	121
3	16	114	62
87	84	8	110
43	76	5	14
100	18	119	51
41	56	5	28
90	23	65	144
11	8	28	48
67	68	61	81
39	80	90	11
138	76	14	15
16	38	12	55
12	4	43	46
102	131	85	75
59	114	88	74
94	117	70	54
122	22	145	140
29	134	56	125
91	100	46	148
61	65	62	71
79	29	96	90
47	8	117	27
108	42	121	26
112	6	52	7
29	126	106	49
80	130	40	17
28	117	2	84
53	101	59	103
117	47	83	8
129	26	84	112
99	49	48	41
47	97	122	37
6	123	136	19
149	94	27	95
24	90	79	145
83	54	79	13
27	16	123	72
37	50	136	38
21	116	143	80
43	135	6	127
112	10	129	96
43	134	64	31
94	83	75	87
19	114	76	121
87	129	15	119
16	103	10	34
142	11	17	24
139	88	15	44
71	55	58	101
117	75	11	57
121	51	41	70
9	36	15	81
59	24	147	91
44	34	18	111
21	138	112	113
136	67	104	125
132	47	134	124
73	142	98	136
17	38	1	60
35	107	51	119
14	32	137	97
22	108	59	63
138	88	121	52
75	62	32	56
19	120	84	138
76	76	108	98
6	109	93	50
42	28	50	7
11	67	54	88
144	91	95	111
147	89	126	84
53	75	140	116
1	71	124	37
14	83	1	142
2	144	22	88
28	20	50	16
