111	56	109	70	52	80
60	90	71	51	111	78
62	92	50	97	120	98
88	59	58	79	67	111
57	50	109	88	57	63
60	52	68	105	64	96
83	59	111	87	74	86
86	117	65	83	53	58
51	98	73	71	113	107
59	112	65	76	84	60
51	71	106	109	68	56
77	111	120	73	77	91
110	71	107	78	96	78
92	63	66	81	75	116
100	86	57	95	101	60
82	65	83	109	54	84
86	119	114	117	68	120
60	99	57	76	72	84
56	119	51	90	92	115
66	71	99	57	114	91
57	80	97	70	96	79
78	119	99	60	55	86
101	64	91	117	86	101
79	119	85	99	77	57
119	67	58	55	80	69
110	116	84	77	108	98
116	114	115	53	105	78
101	65	106	112	52	112
102	65	92	76	52	50
95	93	78	65	91	54
82	66	75	51	76	105
63	77	74	110	59	88
111	52	80	79	114	106
115	106	106	112	117	100
52	60	118	97	57	94
54	79	84	88	64	117
107	72	108	117	79	70
57	102	104	71	101	61
77	108	83	58	98	71
85	96	51	52	67	85
72	93	74	78	59	55
86	115	57	114	65	73
101	101	89	112	74	59
111	115	66	105	106	92
103	67	91	85	93	52
69	85	102	105	72	95
96	54	81	50	111	63
101	53	87	57	93	65
80	94	62	110	62	60
114	66	83	112	118	56
99	80	63	84	105	114
120	54	97	93	56	91
112	59	86	56	81	107
80	54	54	86	106	90
69	97	59	94	65	97
120	70	68	114	69	72
115	110	78	118	74	69
64	97	87	113	105	88
60	114	50	89	85	80
94	89	100	103	108	83
75	84	52	61	71	56
64	85	114	94	60	106
76	97	55	79	110	106
114	119	94	103	98	78
59	110	84	65	93	107
112	70	110	78	106	65
75	112	98	114	88	94
84	77	107	71	69	106
76	85	58	72	118	73
84	78	98	111	114	88
120	75	59	103	64	64
53	89	74	103	70	76
80	74	90	72	57	100
86	92	62	92	62	81
109	55	92	88	53	70
76	92	59	87	102	85
116	114	60	86	90	65
78	72	87	110	61	113
72	97	89	99	66	108
51	67	55	112	98	61
78	65	114	99	52	92
64	92	114	61	115	105
61	58	86	91	55	111
77	92	68	55	118	53
107	91	57	119	103	68
60	102	104	80	98	75
102	90	71	106	66	73
88	69	55	83	50	76
73	89	67	84	117	97
78	67	81	71	109	115
61	90	74	118	58	72
98	113	102	84	92	86
114	75	58	77	86	88
77	62	79	62	85	92
54	87	91	96	115	93
80	94	94	120	109	84
99	62	88	83	87	74
57	115	109	114	105	82
99	109	79	114	81	113
117	85	75	96	79	67
110	110	75	57	75	57
66	58	78	120	114	78
102	77	64	80	51	110
87	117	69	98	106	97
59	65	92	75	81	97
85	99	73	109	109	84
92	92	94	76	78	53
51	79	59	72	66	107
89	85	57	65	101	55
74	109	50	88	71	50
73	113	95	100	82	89
58	67	65	93	110	66
99	51	117	69	118	90
53	95	82	115	52	115
95	104	66	86	105	75
51	110	102	50	67	71
100	107	84	54	100	89
63	53	68	107	79	112
120	116	58	50	108	92
