79	83	21	71	99	28
81	61	95	5	37	99
13	78	48	10	9	29
57	87	69	18	75	61
66	89	18	99	59	44
57	4	69	49	14	41
11	66	82	41	92	82
76	33	4	25	40	62
34	58	55	71	12	97
88	69	78	91	69	17
50	5	97	38	92	76
43	71	2	4	8	22
68	32	4	85	16	65
39	18	59	62	62	89
67	97	68	88	80	1
53	27	97	47	17	65
55	76	70	93	40	25
54	16	100	63	74	2
10	12	23	63	74	47
99	82	58	22	27	21
23	89	97	67	5	42
89	1	1	8	5	47
85	90	29	34	6	48
90	22	63	21	55	100
1	71	86	34	35	14
58	36	2	54	45	3
9	45	30	55	29	90
2	87	83	18	3	48
37	26	21	57	13	56
10	84	29	48	68	36
55	21	54	57	95	51
8	30	19	66	56	43
15	75	31	72	82	62
53	32	74	84	93	32
93	92	39	44	73	87
93	68	11	51	34	87
1	63	43	39	5	63
60	31	64	15	66	14
44	37	76	23	100	72
76	31	94	21	40	4
79	24	60	91	50	8
59	59	32	18	63	33
79	65	50	56	3	78
63	4	99	61	15	85
90	46	63	92	24	51
29	52	58	82	97	17
62	27	19	82	91	12
78	3	94	17	45	85
54	26	32	10	19	74
7	32	83	48	81	1
78	35	54	80	18	16
99	69	79	86	32	25
46	27	50	54	44	2
63	67	36	46	64	23
96	80	44	41	64	73
65	20	27	57	12	99
59	95	71	80	36	16
57	28	97	58	91	100
27	69	12	42	88	22
96	37	89	27	92	86
19	24	100	60	94	10
60	13	88	44	60	42
44	54	100	5	49	97
39	95	23	39	47	32
18	8	31	72	56	45
22	16	34	62	27	27
31	16	35	27	23	20
61	84	10	11	61	43
41	57	14	56	24	33
58	92	58	31	51	74
82	83	52	1	94	4
86	67	32	86	71	75
85	80	16	1	16	65
52	32	1	86	24	81
74	86	70	64	2	14
63	45	70	7	76	99
69	52	87	18	35	9
48	38	58	43	89	80
69	42	96	35	1	42
21	26	89	55	71	49
72	91	28	97	7	100
7	12	77	35	56	56
54	38	61	45	91	18
81	38	94	4	2	23
71	65	78	3	1	100
81	11	4	56	89	23
77	26	27	5	29	46
40	96	78	97	90	80
16	7	80	91	20	86
74	68	52	37	76	32
9	70	51	100	53	67
35	57	50	24	90	88
45	2	11	83	5	15
21	41	42	34	19	85
33	57	88	3	3	80
5	54	79	63	32	90
82	14	23	17	50	53
15	60	23	91	99	72
84	21	58	100	65	88
51	15	90	51	96	62
90	78	76	63	76	25
62	53	43	82	24	66
94	49	98	11	43	45
29	93	27	65	72	55
98	80	92	22	6	39
99	75	12	31	33	96
39	80	75	42	3	56
31	100	15	28	12	61
80	63	13	76	20	18
67	25	24	93	25	44
10	50	71	19	5	6
59	41	73	53	2	84
53	90	67	44	15	61
82	34	5	92	7	30
50	79	21	58	1	21
45	8	46	90	83	40
29	25	9	84	41	67
14	1	71	63	31	89
54	86	84	99	89	56
62	10	4	24	69	63
57	3	40	39	50	96
41	7	67	16	90	77
49	14	3	15	74	94
73	33	32	42	56	81
94	52	74	59	13	90
14	68	54	19	86	38
18	8	44	8	93	66
90	56	93	85	63	94
64	73	63	67	42	59
13	70	39	47	23	31
12	20	67	43	97	34
77	2	65	76	93	51
