task_id,percentage
817,0.0
1327,0.0
816,0.0
1432,0.0
944,36.36363636363637
1197,44.44444444444444
1408,50.0
999,58.333333333333336
389,60.0
1198,61.111111111111114
781,62.5
397,63.63636363636363
166,66.66666666666666
368,66.66666666666666
991,66.66666666666666
167,68.42105263157895
398,69.23076923076923
996,70.0
945,70.0
500,71.42857142857143
155,71.42857142857143
1255,75.0
997,78.57142857142857
19,78.57142857142857
998,80.0
388,80.0
1256,80.0
18,85.71428571428571
17,87.5
1296,88.88888888888889
365,88.88888888888889
501,100.0
1017,100.0
1057,100.0
1409,100.0
715,100.0
1392,100.0
714,100.0
